shape,x1,y1,x2,y2,x3,y3,id
triangle,587.5,537.5,568.75,568.75,606.25,568.75,164
triangle,568.75,568.75,550.0,600.0,587.5,600.0,165
triangle,606.25,568.75,587.5,600.0,625.0,600.0,166
triangle,568.75,568.75,606.25,568.75,587.5,600.0,167
triangle,662.5,537.5,643.75,568.75,681.25,568.75,168
triangle,643.75,568.75,625.0,600.0,662.5,600.0,169
triangle,681.25,568.75,662.5,600.0,700.0,600.0,170
triangle,643.75,568.75,681.25,568.75,662.5,600.0,171
triangle,587.5,537.5,625.0,537.5,606.25,568.75,172
triangle,625.0,537.5,662.5,537.5,643.75,568.75,173
triangle,606.25,568.75,643.75,568.75,625.0,600.0,174
triangle,625.0,537.5,606.25,568.75,643.75,568.75,175
triangle,475.0,475.0,512.5,475.0,493.75,506.25,176
triangle,512.5,475.0,550.0,475.0,531.25,506.25,177
triangle,493.75,506.25,531.25,506.25,512.5,537.5,178
triangle,512.5,475.0,493.75,506.25,531.25,506.25,179
triangle,550.0,475.0,587.5,475.0,568.75,506.25,180
triangle,587.5,475.0,625.0,475.0,606.25,506.25,181
triangle,568.75,506.25,606.25,506.25,587.5,537.5,182
triangle,587.5,475.0,568.75,506.25,606.25,506.25,183
triangle,512.5,537.5,550.0,537.5,531.25,568.75,184
triangle,550.0,537.5,587.5,537.5,568.75,568.75,185
triangle,531.25,568.75,568.75,568.75,550.0,600.0,186
triangle,550.0,537.5,531.25,568.75,568.75,568.75,187
triangle,550.0,475.0,531.25,506.25,568.75,506.25,188
triangle,531.25,506.25,512.5,537.5,550.0,537.5,189
triangle,568.75,506.25,550.0,537.5,587.5,537.5,190
triangle,531.25,506.25,568.75,506.25,550.0,537.5,191
triangle,250.0,350.0,287.5,350.0,268.75,381.25,192
triangle,287.5,350.0,325.0,350.0,306.25,381.25,193
triangle,268.75,381.25,306.25,381.25,287.5,412.5,194
triangle,287.5,350.0,268.75,381.25,306.25,381.25,195
triangle,325.0,350.0,362.5,350.0,343.75,381.25,196
triangle,362.5,350.0,400.0,350.0,381.25,381.25,197
triangle,343.75,381.25,381.25,381.25,362.5,412.5,198
triangle,362.5,350.0,343.75,381.25,381.25,381.25,199
triangle,287.5,412.5,325.0,412.5,306.25,443.75,200
triangle,325.0,412.5,362.5,412.5,343.75,443.75,201
triangle,306.25,443.75,343.75,443.75,325.0,475.0,202
triangle,325.0,412.5,306.25,443.75,343.75,443.75,203
triangle,325.0,350.0,306.25,381.25,343.75,381.25,204
triangle,306.25,381.25,287.5,412.5,325.0,412.5,205
triangle,343.75,381.25,325.0,412.5,362.5,412.5,206
triangle,306.25,381.25,343.75,381.25,325.0,412.5,207
triangle,400.0,350.0,437.5,350.0,418.75,381.25,208
triangle,437.5,350.0,475.0,350.0,456.25,381.25,209
triangle,418.75,381.25,456.25,381.25,437.5,412.5,210
triangle,437.5,350.0,418.75,381.25,456.25,381.25,211
triangle,475.0,350.0,512.5,350.0,493.75,381.25,212
triangle,512.5,350.0,550.0,350.0,531.25,381.25,213
triangle,493.75,381.25,531.25,381.25,512.5,412.5,214
triangle,512.5,350.0,493.75,381.25,531.25,381.25,215
triangle,437.5,412.5,475.0,412.5,456.25,443.75,216
triangle,475.0,412.5,512.5,412.5,493.75,443.75,217
triangle,456.25,443.75,493.75,443.75,475.0,475.0,218
triangle,475.0,412.5,456.25,443.75,493.75,443.75,219
triangle,475.0,350.0,456.25,381.25,493.75,381.25,220
triangle,456.25,381.25,437.5,412.5,475.0,412.5,221
triangle,493.75,381.25,475.0,412.5,512.5,412.5,222
